Type,Name,Price,Quantity

Beef,Ribs,$14/lb,0
Beef,Roast,$14/lb,0
Beef,New York Strip,$14/lb,0
Beef,Ground,$14/lb,0
Goat Meat,Loin Chops,$18/lb,0
Goat Meat,Rib Chops / Rack of Goat,$16/lb,0
Goat Meat,Leg Roasts or Steaks,$16/lb,0
Goat Meat,Shoulder Roasts or Steaks,$14/lb,0
Goat Meat,Ground Goat,$12/lb,0
Goat Meat,Stew Meat,$14/lb,0
Kune Kune Pork Meat,Loin Chops,$18/lb,0
Kune Kune Pork Meat,Ribs,$16/lb,0
Kune Kune Pork Meat,Bacon,$20/lb,0
Kune Kune Pork Meat,Ground,$12/lb,0
Kune Kune Pork Meat,Roasts / Steaks,$14/lb,0
Kune Kune Pork Meat,Hams,$14/lb,0
